Study_ID,Short_ID,Short_ID,Short_Description,Study_Description,Subject_Count,Status,Study_Type,Intervention_Type,Age_Lower_Limit,Units_for_Age_Lo,Age_Upper_Limit,Units_for_Age_Up,Country,Population,Anthropometric_Data,included,included_anthropometry,included_longitudinal,included_low_income,included_small,included_age,included_ill,included_qc,included_measurement_freq
MICS-AFG-2010,,,MICS Afghanistan 2010-11,"MICS Afghanistan 2010-11, survey",37373,MPC,Survey,,,,,,AFG,,Yes,0,1,0,1,1,0,1,1,
MICS-AGO-2001,,,MICS Angola 2001,"MICS Angola 2001, survey",12753,MPC,Survey,,,,,,AGO,,Yes,0,1,0,1,1,0,1,1,
DHS-BDI-1987,,,DHS Burundi 1987,"DHS Burundi 1987, survey",7781,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
DHS-BDI-2010,,,DHS Burundi 2010,"DHS Burundi 2010, survey",17131,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
MICS-BDI-2000,,,MICS Burundi 2000,"MICS Burundi 2000, survey",8015,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
MICS-BDI-2005,,,MICS Burundi 2005,"MICS Burundi 2005, survey",16548,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-1993,,,DHS Burkina Faso 1993,"DHS Burkina Faso 1993, survey",12182,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-1998,,,DHS Burkina Faso 1998,"DHS Burkina Faso 1998, survey",12398,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-2003,,,DHS Burkina Faso 2003,"DHS Burkina Faso 2003, survey",23122,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-2010,,,DHS Burkina Faso 2010,"DHS Burkina Faso 2010, survey",32131,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-1985,,,IPUMS-International Burkina Faso 1985,"IPUMS-International Burkina Faso 1985, census",884797,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-1996,,,IPUMS-International Burkina Faso 1996,"IPUMS-International Burkina Faso 1996, census",1081046,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-2006,,,IPUMS-International Burkina Faso 2006,"IPUMS-International Burkina Faso 2006, census",1417824,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
MICS-BFA-2006,,,MICS Burkina Faso 2006,"MICS Burkina Faso 2006, survey",13836,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
Burkina Faso Zn,BFZn,bfzn,Zn Trial in Burkina Faso,"Effect of preventive and therapeutic zinc supplementation programs on nutritional status, growth, and morbidity among young children: a randomized, partially masked, community-based trial",7641,QC completed,Longitudinal,Nutritional,6,Months,7,Months,BFA,"Children who are not severely malnourished, anemic, or acutely or chronically ill","Ht, Wt, MUAC at Baseline, Wk 16, Wk 32 and Wk 48",1,1,1,1,1,1,1,1,0
iLiNS-Zinc,LNSZ,lnsz,iLiNS-Zinc Study,"Effect of small-quantity Lipid-based Nutrient Supplements on growth, stunting, and wasting in young children: cluster-randomized trial",3266,QC completed,Longitudinal,Nutritional,9,Months,18,Months,BFA,Rural infants,"Len, Wt, HCIR, MUAC at 9, 12, 15 months and other follow up visits. Body composition.",1,1,1,1,1,1,1,1,1
DHS-BGD-1997,,,DHS Bangladesh 1997,"DHS Bangladesh 1997, survey",15316,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2000,,,DHS Bangladesh 2000,"DHS Bangladesh 2000, survey",17376,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2004,,,DHS Bangladesh 2004,"DHS Bangladesh 2004, survey",18348,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2007,,,DHS Bangladesh 2007,"DHS Bangladesh 2007, survey",17146,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2011,,,DHS Bangladesh 2011,"DHS Bangladesh 2011, survey",26595,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BGD-1991,,,IPUMS-International Bangladesh 1991,"IPUMS-International Bangladesh 1991, census",10580904,MPC,Census,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
