HDI Rank,Country,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
169, Afghanistan,..,,..,,0.745,,0.751,,0.743,,0.734,,0.724,,0.714,,0.702,,0.69,,0.673,,..,,0.655
69, Albania,..,,0.334,,0.306,,0.242,,0.249,,0.23,,0.221,,0.217,,0.207,,0.205,,0.187,,0.186,,0.181
91, Algeria,0.682,a,0.624,,0.552,,0.507,,0.5,,0.419,,0.416,,0.424,,0.427,,0.425,,0.434,,0.433,,0.429
148, Angola,..,,..,,..,,..,,..,,..,,..,,0.537,,0.534,,0.531,,0.539,,0.537,,0.536
46, Argentina,0.427,a,0.417,,0.372,,0.358,,0.354,,0.351,,0.348,,0.345,,..,,0.338,,0.332,,0.328,,0.328
81, Armenia,0.479,a,0.473,,0.392,,0.342,,0.337,,0.32,,0.307,,0.308,,0.309,,0.303,,0.266,,0.264,,0.245
8, Australia,0.18,a,0.16,,0.139,,0.138,,0.132,,0.127,,0.119,,0.116,,0.11,,0.108,,0.104,,0.103,,0.097
18, Austria,0.186,a,0.15,,0.118,,0.111,,0.106,,0.102,,0.093,,0.09,,0.089,,0.087,,0.079,,0.076,,0.069
88, Azerbaijan,..,,..,,0.341,,0.313,,0.314,,0.315,,0.318,,0.321,,0.316,,0.317,,0.319,,0.321,,0.323
58, Bahamas,..,,0.403,,0.363,,0.38,,0.378,,0.379,,0.376,,0.373,,0.367,,0.363,,0.343,,0.343,,0.341
42, Bahrain,..,,..,,0.321,,0.247,,0.221,,0.234,,0.23,,0.226,,0.236,,0.235,,0.231,,0.213,,0.212
133, Bangladesh,0.708,a,0.683,,0.638,,0.592,,0.591,,0.585,,0.579,,0.57,,0.562,,0.555,,0.542,,0.54,,0.537
58, Barbados,0.392,a,0.359,,0.351,,0.327,,0.323,,0.319,,0.306,,0.301,,0.306,,0.298,,0.286,,0.261,,0.252
53, Belarus,..,,..,,..,,0.15,,0.149,,0.154,,0.153,,0.153,,0.153,,0.138,,0.134,,0.128,,0.118
14, Belgium,0.162,a,0.122,,0.104,,0.091,,0.086,,0.081,,0.074,,0.063,,0.057,,0.054,,0.052,,0.048,,0.043
110, Belize,0.554,a,0.516,,0.484,,0.459,,0.455,,0.44,,0.435,,0.43,,0.423,,0.412,,0.418,,0.416,,0.415
158, Benin,0.681,a,0.673,,0.655,,0.625,,0.633,,0.628,,0.624,,0.619,,0.624,,0.619,,0.614,,0.613,,0.612
129, Bhutan,..,,..,,..,,..,,..,,0.507,,0.536,,0.512,,0.492,,0.481,,0.47,,0.428,,0.421
107, Bolivia (Plurinational State of),..,,0.587,,0.55,,0.491,,0.487,,0.483,,0.477,,0.44,,0.44,,0.431,,0.424,,0.419,,0.417
73, Bosnia and Herzegovina,..,,..,,..,,0.228,,0.201,,0.193,,0.183,,..,,0.168,,0.167,,0.161,,0.158,,0.149
100, Botswana,0.568,a,0.519,,0.512,,0.506,,0.504,,0.5,,0.496,,0.483,,0.481,,0.478,,0.473,,0.472,,0.465
84, Brazil,0.532,a,0.51,,0.474,,0.456,,0.452,,0.448,,0.448,,0.442,,0.439,,0.436,,0.428,,0.41,,0.408
47, Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.299,,0.269,,0.262,,0.255
56, Bulgaria,0.37,a,0.329,,0.253,,0.244,,0.243,,0.229,,0.217,,0.236,,0.227,,0.225,,0.214,,0.213,,0.206
182, Burkina Faso,..,,..,,0.641,,0.614,,0.61,,0.605,,0.601,,..,,0.619,,0.616,,0.605,,0.605,,0.594
185, Burundi,..,,0.624,,0.567,,0.532,,0.528,,0.523,,0.519,,0.515,,0.509,,0.508,,0.505,,0.504,,0.504
126, Cabo Verde,..,,..,,..,,..,,..,,..,,..,,..,,0.416,,0.404,,0.4,,0.398,,0.397
144, Cambodia,0.658,a,0.598,,0.568,,0.506,,0.502,,0.497,,0.493,,0.488,,0.483,,0.478,,0.475,,0.473,,0.474
153, Cameroon,0.706,a,0.696,,0.654,,0.617,,0.614,,0.611,,0.577,,0.575,,0.572,,0.569,,0.566,,0.561,,0.56
16, Canada,0.184,a,..,,0.139,,0.132,,0.124,,0.121,,0.119,,0.116,,0.114,,0.101,,0.095,,0.088,,0.08
188, Central African Republic,0.743,a,0.711,,0.693,,0.693,,0.68,,0.678,,..,,..,,..,,0.694,,0.682,,0.68,,0.68
187, Chad,..,,..,,..,,..,,..,,..,,..,,..,,0.714,,0.713,,0.718,,0.709,,0.71
43, Chile,0.483,a,0.433,,0.377,,0.342,,0.331,,0.325,,0.309,,0.303,,0.3,,0.288,,..,,0.253,,0.247
85, China,..,,0.269,,0.227,,0.194,,0.189,,0.186,,0.178,,0.175,,0.172,,0.169,,0.168,,0.167,,0.168
83, Colombia,0.524,a,0.501,,0.494,,0.468,,0.466,,0.463,,0.461,,0.436,,0.433,,0.431,,0.431,,0.432,,0.428
149, Congo,..,,0.623,,0.625,,0.613,,0.608,,0.605,,0.602,,0.59,,0.588,,0.584,,0.571,,0.57,,0.57
175, Congo (Democratic Republic of the),..,,..,,0.654,,0.661,,..,,0.655,,0.626,,0.637,,0.641,,0.638,,0.636,,0.635,,0.617
62, Costa Rica,0.467,a,0.427,,0.349,,0.331,,0.323,,0.313,,0.313,,0.321,,0.316,,0.319,,0.311,,0.291,,0.288
43, Croatia,0.285,a,0.205,,0.157,,0.146,,0.144,,0.139,,0.133,,0.127,,0.151,,0.16,,0.131,,0.126,,0.116
70, Cuba,0.422,a,0.383,,0.34,,0.32,,0.313,,0.317,,0.316,,0.316,,0.315,,0.312,,0.31,,0.305,,0.304
33, Cyprus,0.331,a,0.253,,0.14,,0.132,,0.139,,0.137,,0.134,,0.118,,0.114,,0.091,,0.089,,0.088,,0.086
27, Czechia,0.252,a,..,,0.153,,0.135,,0.133,,0.133,,0.138,,0.139,,0.134,,0.135,,0.132,,0.135,,0.136
162, Côte d'Ivoire,0.707,a,..,,0.688,,0.678,,0.667,,0.667,,0.664,,0.665,,0.664,,0.66,,0.65,,0.648,,0.638
10, Denmark,0.096,a,0.076,,0.064,,0.056,,0.052,,0.049,,0.046,,0.044,,0.044,,0.042,,0.041,,0.04,,0.038
