"","country","brthyr","gdp","gdi","gii","chi","gini","he","pov","mort"
"1","BURKINA FASO",2010,647.8360955,0.833,0.614,35.7,38.9,5.2395854,53.08,53.08
"2","BURKINA FASO",2009,624.1751645,0.8248,0.6194,36.6,39.8,5.08159304,55.4,55.4
"3","BURKINA FASO",2008,643.404581,0.8166,0.6248,37.5,40.3833333333333,4.64780807,55.7333333333333,55.7333333333333
"4","BURKINA FASO",2011,751.1727704,0.839,0.61,34.8,38,4.6486845,50.76,50.76
"5","INDIA",2002,470.9867868,0.746,0.6456,40.1,33.9090909090909,4.24016666,41.3,41.3
"6","INDIA",2003,546.7266135,0.751,0.6384,38.7,34.1545454545455,4.0084796,40.6,40.6
"7","PERU",1995,2194.017247,0.901,0.549,133.3,49.7,2.88090799,19.1,19.1
"8","PERU",1996,2232.075816,0.904,0.5405,126.4,51.5,3.18769167,18.2,18.2
"9","PERU",1997,2306.438527,0.907,0.532,119.5,53.3,3.49447535,17.3,17.3
"10","PERU",1998,2163.119357,0.91,0.5235,112.6,55.1,3.80125903,16.4,16.4
"11","BRAZIL",1990,2622.262881,0.982,0.554,20.6000000000001,60.5,6.18445781999999,21.5,21.5
"12","BRAZIL",1995,4748.388208,0.984,0.532,22.1,59.6,7.25952531999999,12.9,12.9
"13","BRAZIL",1992,2127.50719,0.9828,0.5452,21.2000000000001,53.2,6.61448481999999,20.7,20.7
"14","BRAZIL",1996,5166.163933,0.9844,0.5276,22.4,59.9,7.47453881999999,14.1,14.1
"15","BRAZIL",1989,2371.572196,0.9816,0.5584,20.3000000000001,63.3,5.96944431999998,18.2,18.2
"16","BRAZIL",1994,3295.244924,0.9836,0.5364,21.8,59.85,7.04451181999999,16.35,16.35
"17","BRAZIL",1991,2259.239894,0.9824,0.5496,20.9000000000001,56.85,6.39947131999999,21.1,21.1
"18","BRAZIL",1997,5282.04947,0.9848,0.5232,22.7,59.8,7.68955232,14,14
"19","GUINEA-BISSAU",1994,220.9604242,NA,NA,54.6,42.7111111111111,6.96400593,45.4888888888889,45.4888888888889
"20","GUINEA-BISSAU",1995,233.2432587,NA,NA,53.8,41.8222222222222,6.92747973,46.8777777777778,46.8777777777778
"21","GUINEA-BISSAU",1996,243.4382959,NA,NA,53,40.9333333333333,6.89095353,48.2666666666667,48.2666666666667
"22","GUINEA-BISSAU",1997,237.1300773,NA,NA,52.2,40.0444444444444,6.85442733,49.6555555555556,49.6555555555556
"23","PERU",1989,1040.962255,0.883,0.6,174.7,38.9,1.04020591,24.5,24.5
"24","PERU",1990,1196.586858,0.886,0.5915,167.8,40.7,1.34698959,23.6,23.6
"25","PERU",1991,1524.770536,0.889,0.583,160.9,42.5,1.65377327,22.7,22.7
"26","BANGLADESH",1993,300.5557477,0.6894,0.718,53.8,30.25,2.12529491,39.25,39.25
"27","BANGLADESH",1994,299.5330371,0.7002,0.713,52.3,31.575,2.11760186,37.125,37.125
"28","PERU",2007,3606.070689,0.9362,0.4504,50.5,50,4.42612123,11.1,11.1
"29","PERU",2008,4220.616378,0.9388,0.4436,43.6,47.5,4.51443434,9.1,9.1
"30","PERU",2009,4196.311627,0.9414,0.4368,36.7,47,4.97619247,7.1,7.1
"31","PAKISTAN",2012,1198.117637,0.728,0.555,29.5,29.6,2.35939932,6.45,6.45
"32","PAKISTAN",2013,1208.91771,0.73,0.554,28.7,29.5,2.6028018,5.7,5.7
"33","NEPAL",2012,804.1416073,0.887,0.507,33.5,29.6571428571429,4.49078512,5.02857142857142,5.02857142857142
"34","GUATEMALA",1996,1487.607658,0.887,0.59,59.6,56.1636363636364,2.70367148,18.5666666666667,18.5666666666667
"35","GUATEMALA",1997,1649.001602,0.889,0.59,57.7,55.6727272727273,3.37696888,16.0333333333333,16.0333333333333
"36","GUATEMALA",1998,1755.849582,0.891,0.59,55.8,55.1818181818182,4.05026628,13.5,13.5
"37","MALAWI",2009,438.2118568,0.9086,0.6126,31.8,44.5666666666667,8.26966286,71.3333333333333,71.3333333333333
"38","MALAWI",2010,478.6686885,0.915,0.603,31.6,45.5,7.24138308,71.1,71.1
