"","country","brthyr","gdp","Intercept.x","imputed_gdp","min_year.x","max_year.x","gdp_imp","gdi","Intercept.y","imputed_gdi","min_year.y","max_year.y","gdi_imp","gii","Intercept.x.x","imputed_gii","min_year.x.x","max_year.x.x","gii_imp","chi","Intercept.y.y","imputed_chi","min_year.y.y","max_year.y.y","chi_imp","gini","Intercept.x.x.x","imputed_gini","min_year.x.x.x","max_year.x.x.x","gini_imp","he","Intercept.y.y.y","imputed_he","min_year.y.y.y","max_year.y.y.y","he_imp","pov","Intercept.x.x.x.x","imputed_pov","min_year.x.x.x.x","max_year.x.x.x.x","pov_imp","mort","Intercept.y.y.y.y","imputed_mort","min_year.y.y.y.y","max_year.y.y.y.y","mort_imp","nearest_gdp","nearest_gdi","nearest_gii","nearest_chi","nearest_he","nearest_gini","nearest_mort","nearest_pov"
"1","BURKINA FASO",2010,647.8360955,1,"no",1987,2020,647.8360955,0.833,1,"no",1987,2020,0.833,0.614,1,"no",1987,2020,0.614,35.7,1,"no",1987,2020,35.7,38.9,1,"yes",1987,2020,38.9,5.2395854,1,"no",1987,2020,5.2395854,53.08,1,"yes",1987,2020,53.08,121.5,1,"no",1987,2020,121.5,0,0,0,0,0,1,0,1
"2","BURKINA FASO",2009,624.1751645,1,"no",1987,2020,624.1751645,0.8248,1,"yes",1987,2020,0.8248,0.6194,1,"yes",1987,2020,0.6194,36.3764144630014,1,"yes",1987,2020,36.3764144630014,39.8,1,"no",1987,2020,39.8,5.08159304,1,"no",1987,2020,5.08159304,55.4,1,"no",1987,2020,55.4,126.9,1,"no",1987,2020,126.9,0,1,1,1,0,0,0,0
"3","BURKINA FASO",2008,643.404581,1,"no",1987,2020,643.404581,0.8166,1,"yes",1987,2020,0.8166,0.6248,1,"yes",1987,2020,0.6248,37.0528289260027,1,"yes",1987,2020,37.0528289260027,40.3833333333333,1,"yes",1987,2020,40.3833333333333,4.64780807,1,"no",1987,2020,4.64780807,55.7333333333333,1,"yes",1987,2020,55.7333333333333,132.9,1,"no",1987,2020,132.9,0,2,2,2,0,1,0,1
"4","BURKINA FASO",2011,751.1727704,1,"no",1987,2020,751.1727704,0.839,1,"no",1987,2020,0.839,0.61,1,"no",1987,2020,0.61,34.8,1,"no",1987,2020,34.8,38,1,"yes",1987,2020,38,4.6486845,1,"no",1987,2020,4.6486845,50.76,1,"yes",1987,2020,50.76,116.9,1,"no",1987,2020,116.9,0,0,0,0,0,2,0,2
"5","INDIA",2002,470.9867868,1,"no",1987,2020,470.9867868,0.746,1,"yes",1987,2020,0.746,0.6456,1,"yes",1987,2020,0.6456,NA,1,"yes",1987,2020,31.2924323893053,33.9090909090909,1,"yes",1987,2020,33.9090909090909,4.24016666,1,"no",1987,2020,4.24016666,41.3,1,"yes",1987,2020,41.3,84.5,1,"no",1987,2020,84.5,0,2,3,8,0,2,0,2
"6","INDIA",2003,546.7266135,1,"no",1987,2020,546.7266135,0.751,1,"yes",1987,2020,0.751,0.6384,1,"yes",1987,2020,0.6384,NA,1,"yes",1987,2020,30.9933783406421,34.1545454545455,1,"yes",1987,2020,34.1545454545455,4.0084796,1,"no",1987,2020,4.0084796,40.6,1,"yes",1987,2020,40.6,81.1,1,"no",1987,2020,81.1,0,2,2,7,0,1,0,1
"7","PERU",1995,2194.017247,1,"no",1987,2020,2194.017247,0.905006695143382,1,"yes",1987,2020,0.905006695143382,0.549,1,"no",1987,2020,0.549,NA,1,"yes",1987,2020,41.7669205346628,54.6663850441393,1,"yes",1987,2020,54.6663850441393,4.28237446340931,1,"yes",1987,2020,4.28237446340931,18.9777496754654,1,"yes",1987,2020,18.9777496754654,57.8,1,"no",1987,2020,57.8,0,5,0,15,5,2,0,2
"8","PERU",1996,2232.075816,1,"no",1987,2020,2232.075816,0.907205356114706,1,"yes",1987,2020,0.907205356114706,0.5405,1,"yes",1987,2020,0.5405,NA,1,"yes",1987,2020,40.969125832352,53.9831925220697,1,"yes",1987,2020,53.9831925220697,4.30886484872745,1,"yes",1987,2020,4.30886484872745,18.1388748377327,1,"yes",1987,2020,18.1388748377327,53.4,1,"no",1987,2020,53.4,0,4,1,14,4,1,0,1
"9","PERU",1997,2306.438527,1,"no",1987,2020,2306.438527,0.909404017086029,1,"yes",1987,2020,0.909404017086029,0.532,1,"yes",1987,2020,0.532,NA,1,"yes",1987,2020,40.1713311300411,53.3,1,"no",1987,2020,53.3,4.33535523404558,1,"yes",1987,2020,4.33535523404558,17.3,1,"no",1987,2020,17.3,49.1,1,"no",1987,2020,49.1,0,3,2,13,3,0,0,0
"10","PERU",1998,2163.119357,1,"no",1987,2020,2163.119357,0.911602678057353,1,"yes",1987,2020,0.911602678057353,0.5235,1,"yes",1987,2020,0.5235,NA,1,"yes",1987,2020,39.3735364277303,55.1,1,"no",1987,2020,55.1,4.36184561936372,1,"yes",1987,2020,4.36184561936372,16.4,1,"no",1987,2020,16.4,45.2,1,"no",1987,2020,45.2,0,2,3,12,2,0,0,0
