Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,6.252427801,6.39062755,5.969416966,6.635665449,6.71073392,6.528097593,6.492505987,6.468482787,6.299643063,6.886251146,6.94635178,6.7927764,6.573127772,6.542389215,6.132938056,6.32839534,6.235434646,6.149074424,6.202238122,6.204934489
Afghanistan,,,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89717579,8.80594063,9.52887058,10.10534763,11.81856155,12.62081718,14.12674332,13.24220181
Africa Western and Central,3.771293562,3.770255085,3.387611662,4.68110246,4.481883329,4.277284005,4.139621297,3.908506267,3.731709884,3.786901282,3.521775022,3.550731418,3.505062773,3.621935452,3.614794349,3.834684573,3.811253362,3.789630523,3.393160573,3.366043975
Angola,1.90859938,4.48351622,3.32946134,3.54797316,3.96720099,2.85219693,2.68553662,2.97438812,3.32290483,3.84260869,2.69510007,2.64560795,2.39574957,2.73282766,2.43412852,2.60579491,2.71314907,2.79150295,2.54010224,2.53335953
Albania,7.2333703,7.13952398,6.90934134,7.06348991,6.77337217,6.33554173,6.00927734,6.31683397,5.1390624,4.6022253,4.7457962,4.79534149,5.05526543,5.38561106,5.50347328,4.89631176,4.91601658,5.01263571,5.23207188,
Andorra,5.96051121,5.86593914,6.09839916,5.63991785,5.38125277,5.73988628,5.06450415,5.0283227,5.78568554,6.23957682,6.58006001,6.08633614,6.12628031,6.15502787,6.13150549,6.28353453,6.30526257,6.58945513,6.75162506,6.71158504
Arab World,4.00092337,4.284497842,4.266428744,4.146222167,3.831061108,3.512280027,3.483642819,3.58376752,3.409017605,4.297021708,3.899507491,3.893077433,3.97068992,4.218329215,4.550951252,5.073465452,5.044953902,5.280794751,5.043365961,5.083741954
United Arab Emirates,2.37413526,2.48437047,2.71770859,2.64634395,2.46204352,2.32019687,2.3254137,2.56569624,2.92847776,4.04999352,3.87874508,3.67007303,3.42520428,3.59299517,3.63020945,3.58359432,3.46601534,4.05959463,4.14545679,4.27504921
Argentina,8.2200098,8.37179756,7.3933115,6.89451599,7.22868299,7.61078882,7.64032841,7.83455086,8.18266869,9.45598793,9.44546986,9.41821575,9.82728195,9.78097343,9.67129135,10.22933865,9.00189686,10.44225502,9.66646481,9.5100708
