Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.8015276,164.1289762,162.5118153,161.2041059,161.5567687,156.6022595,153.891123,150.6219266,146.771985,142.4208622,137.5449914,132.1296314,126.4633285,120.8348265,115.4043538,110.1448593,105.2067126,100.2209939,95.33053644,90.5094233,86.11572214,82.05748353,78.25007097,74.81667325,71.79495789,69.13815746,66.51592775,64.24399372,62.07293632,60.05415038,58.15864958,
Afghanistan,358.2,352.2,346.3,340.6,335.1,329.8,324.4,318.8,313.3,307.9,302.1,296.6,291,285.4,279.6,273.8,268,262.1,256,249.7,243.6,237.2,230.7,224.2,217.5,210.9,204.4,197.7,191.2,184.7,178.4,172.2,166.3,160.7,155.5,150.6,146,141.5,137.3,133.2,129.2,125.2,121.1,116.9,112.6,108.4,104.1,99.9,95.7,91.7,87.8,84,80.3,76.9,73.6,70.4,67.5,64.8,62.3,60.1,58,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0836867,196.6009915,195.0409914,193.3972504,191.4465908,189.01929,186.1701202,182.7122364,178.74312,174.259893,169.4711147,164.3553376,158.9838056,153.6297794,148.2783528,143.1011193,138.1644716,133.4750447,129.1176461,125.0638226,121.38325,118.0393257,114.9971079,112.1911899,109.6962866,107.2916927,104.637694,102.0320864,99.29113974,96.49428924,93.62702321,
Angola,,,,,,,,,,,,,,,,,,,,,237.3,234.6,232.1,229.9,227.9,226,224.6,223.8,223.3,222.9,222.8,222.6,222.7,222.7,222.5,221.7,220,217.4,213.8,209.6,204.4,198.4,191.5,183.8,175.1,166.1,156.4,147,137.7,128.7,120.4,112.5,105.1,98.5,92.9,88.1,84.1,80.6,77.3,74.2,71.5,
Albania,,,,,,,,,,,,,,,,,,,97.2,89.3,82.1,75.5,69.5,64.2,59.4,55.1,51.4,48.2,45.4,43,41,39.3,37.8,36.4,35.1,33.9,32.6,31.3,30,28.6,27.2,25.8,24.4,23,21.5,20,18.5,17.1,15.8,14.5,13.3,12.1,11.2,10.4,9.9,9.6,9.4,9.4,9.5,9.7,9.8,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,19.6,18.4,17.2,16.1,15.1,14.2,13.3,12.4,11.7,11,10.4,9.7,9.2,8.6,8.2,7.7,7.3,6.9,6.5,6.1,5.8,5.4,5.1,4.8,4.5,4.2,4,3.8,3.5,3.3,3.2,3,2.8,2.7,2.5,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.91649639,78.468172,76.21161211,74.09545502,72.05245807,70.02823553,68.09332663,66.17357518,64.27460615,62.41282999,60.55947269,58.68500273,56.84083698,55.05752876,53.26149867,51.51764004,49.7665975,47.994989,46.19507879,44.47126503,42.96973593,41.75459068,41.36755449,40.60593811,39.65857468,38.62730663,37.68171538,36.23137417,35.61514683,34.88575942,34.08639899,
United Arab Emirates,198,188,178.2,168.2,158,147.7,137.3,127.1,116.8,106.9,97.4,88.4,80.1,72.6,65.7,59.4,53.6,48.3,43.5,39.2,35.3,32,29.1,26.7,24.6,22.7,21.2,19.8,18.6,17.5,16.5,15.7,14.9,14.2,13.6,13.1,12.6,12.2,11.8,11.5,11.1,10.9,10.6,10.3,10.1,9.8,9.6,9.4,9.2,8.9,8.7,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.8,6.6,
Argentina,,,,,,,,,,72.5,71.7,70.8,69.7,68.2,66.1,63.3,59.8,55.7,51.2,46.8,42.8,39.4,36.6,34.2,32.1,30.6,29.6,29.1,28.9,28.8,28.6,28.1,27.3,26.3,25.2,24.1,23.1,22.1,21.2,20.4,19.6,18.9,18.3,17.7,17.1,16.5,16.1,15.7,15.3,14.9,14.5,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.7,9.1,8.6,
