Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,,,34.4,,,,,,,,,,49.9,,,
Albania,,,,,,,,,,,,,,,,,0.9,,,,,,1.6,,,0.9,,,0.3,,,,0.8,,1.6,0.2,0.4,0.4,0.1,0,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,
Argentina,0.5,,,,,,1.2,1.4,,,,1.3,2.5,2.8,2.7,4.9,5.3,4.8,5.6,5.5,6.8,10.7,16.9,7.9,5.7,4.2,3.3,2.6,2.5,2.3,1.4,1.1,1.2,1,0.9,,1.1,0.9,1.4,1.3,1.6,
Armenia,,,,,,,,,,,,,,,,,,,,12.2,,14.4,10.5,7.9,5.5,2.7,2.1,1.6,0.9,1.3,1,1.2,0.9,1.8,1.5,1.3,1.2,0.9,1.4,1.1,0.4,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,1,,,,1,,,,0.7,,,,,,0.7,,,,,,0.7,,1,0.5,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,
