"","studyid","region","RR","RR.CI1","RR.CI2","est","se","N","sparseN","W","pooled","Nstudies","method","X","Y","adj","agecat","sex","analysis","df","logHR.psi","logSE","HR.CI1","HR.CI2","severe"
"1","Burkina Faso Zn","Africa",0.168483463174938,0.0231360923205245,1.22694346867895,-1.78091767540093,1.01351406398207,7166,1,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"2","iLiNS-DOSE","Africa",0.206084082497942,0.0270966224406716,1.56737796941329,-1.5794710260045,1.03775748342651,1360,1,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"3","iLiNS-DYAD-M","Africa",0.37391997208031,0.0886979076961807,1.57631841778563,-0.983713482859141,0.752877450012155,1087,2,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"4","JiVitA-3","South Asia",0.635565784797303,0.453208377206171,0.891298323511022,-0.453239677113244,0.167791713895961,26799,38,"hfoodsec, hhwealth_quart",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"5","JiVitA-4","South Asia",0.142576757131676,0.0196824019912724,1.03280746339795,-1.94787477775333,1.01105204183668,5371,1,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"6","Keneba","Africa",0.341638486439955,0.11858600695305,0.984238009322582,-1.07400215819162,0.521433503169251,2924,5,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"7","VITAMIN-A","South Asia",1.19612615072309e-08,9.34360082625091e-09,1.5312274090563e-08,-18.241592616793,2671.83524145377,3864,0,"",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"8","ZVITAMBO","Africa",0.4879607011561,0.373824957341572,0.636944220006132,-0.717520406789565,0.137069064882491,13466,58,"W_mbmi, single, W_meducyrs, W_parity",0,NA,NA,"stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"9","pooled",NA,0.528463500812823,0.420496520572213,0.6641521582897,-0.637781537905687,0.116600783774979,NA,NA,NA,1,4,"RE","stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"10","pooled",NA,0.529001735636068,0.432262725045449,0.647390626329275,-0.636763566153666,0.1030398722506,NA,NA,NA,1,4,"FE","stunt","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
