"","A","Y","A_t","Y_t","RR","RR.CI1","RR.CI2","Nstudies"
"1","Stunting","Stunting","12-15 months","15-18",5.6,4.6,6.9,16
"2","Stunting","Stunting","12-15 months","18-21",4.3,3.5,5.3,13
"3","Stunting","Stunting","12-15 months","21-24",3.3,2.7,4.1,12
"4","Stunting","Underweight","12-15 months","15-18",3.8,3.1,4.7,13
"5","Stunting","Underweight","12-15 months","18-21",3.9,3.3,4.6,14
"6","Stunting","Underweight","12-15 months","21-24",3.6,3,4.3,12
"7","Stunting","Wasting","12-15 months","15-18",1.8,1.4,2.2,13
"8","Stunting","Wasting","12-15 months","18-21",1.9,1.6,2.3,11
"9","Stunting","Wasting","12-15 months","21-24",1.9,1.6,2.3,9
"10","Stunting","Stunting","0-3 months","12-15",2.5,2.1,2.9,16
"11","Stunting","Stunting","0-3 months","15-18",2.1,1.8,2.5,16
"12","Stunting","Stunting","0-3 months","18-21",1.9,1.6,2.2,14
"13","Stunting","Stunting","0-3 months","21-24",1.8,1.5,2.1,13
"14","Stunting","Stunting","0-3 months","3-6",5.3,4.4,6.3,16
"15","Stunting","Stunting","0-3 months","6-9",3.4,3,4,17
"16","Stunting","Stunting","0-3 months","9-12",3.1,2.6,3.7,16
"17","Stunting","Underweight","0-3 months","12-15",2.2,1.9,2.6,16
"18","Stunting","Underweight","0-3 months","15-18",2.1,1.8,2.5,15
"19","Stunting","Underweight","0-3 months","18-21",2,1.8,2.3,14
"20","Stunting","Underweight","0-3 months","21-24",2,1.8,2.2,13
"21","Stunting","Underweight","0-3 months","3-6",3.4,2.8,4.1,13
"22","Stunting","Underweight","0-3 months","6-9",2.3,2.1,2.5,13
"23","Stunting","Underweight","0-3 months","9-12",2.3,2,2.7,14
"24","Stunting","Wasting","0-3 months","12-15",1.5,1.3,1.7,12
"25","Stunting","Wasting","0-3 months","15-18",1.6,1.4,2,12
"26","Stunting","Wasting","0-3 months","18-21",1.8,1.5,2.1,11
"27","Stunting","Wasting","0-3 months","21-24",1.8,1.5,2,9
"28","Stunting","Wasting","0-3 months","3-6",1.2,1,1.4,11
"29","Stunting","Wasting","0-3 months","6-9",1.2,1,1.4,9
"30","Stunting","Wasting","0-3 months","9-12",1.4,1.1,1.7,11
"31","Stunting","Stunting","15-18 months","18-21",8,5.8,11.1,14
"32","Stunting","Stunting","15-18 months","21-24",4.5,3.4,6,12
"33","Stunting","Underweight","15-18 months","18-21",4.4,3.8,5.1,13
"34","Stunting","Underweight","15-18 months","21-24",4.5,3.8,5.3,12
"35","Stunting","Wasting","15-18 months","18-21",2.1,1.8,2.5,11
"36","Stunting","Wasting","15-18 months","21-24",2.1,1.7,2.6,9
"37","Stunting","Stunting","18-21 months","21-24",6.2,4.6,8.5,11
"38","Stunting","Underweight","18-21 months","21-24",4.3,3.6,5.1,11
"39","Stunting","Wasting","18-21 months","21-24",2,1.6,2.5,9
"40","Stunting","Stunting","3-6 months","12-15",3,2.5,3.6,14
"41","Stunting","Stunting","3-6 months","15-18",2.6,2.1,3.2,14
"42","Stunting","Stunting","3-6 months","18-21",2.3,1.9,2.8,10
"43","Stunting","Stunting","3-6 months","21-24",2,1.7,2.4,9
"44","Stunting","Stunting","3-6 months","6-9",5.9,4.9,7.1,17
"45","Stunting","Stunting","3-6 months","9-12",3.8,3.1,4.6,17
"46","Stunting","Underweight","3-6 months","12-15",2.7,2.3,3.3,17
"47","Stunting","Underweight","3-6 months","15-18",2.6,2.2,3.1,15
"48","Stunting","Underweight","3-6 months","18-21",2.5,2.2,3,15
"49","Stunting","Underweight","3-6 months","21-24",2.3,2,2.6,13
"50","Stunting","Underweight","3-6 months","6-9",3.4,2.9,4,15
"51","Stunting","Underweight","3-6 months","9-12",2.8,2.4,3.3,16
"52","Stunting","Wasting","3-6 months","12-15",1.5,1.3,1.9,13
"53","Stunting","Wasting","3-6 months","15-18",1.7,1.5,1.9,12
"54","Stunting","Wasting","3-6 months","18-21",1.9,1.7,2.2,11
"55","Stunting","Wasting","3-6 months","21-24",1.9,1.6,2.2,10
"56","Stunting","Wasting","3-6 months","6-9",1.4,1.1,1.8,12
"57","Stunting","Wasting","3-6 months","9-12",1.5,1.2,1.9,13
"58","Stunting","Stunting","6-9 months","12-15",3.7,3,4.6,12
"59","Stunting","Stunting","6-9 months","15-18",2.8,2.2,3.6,12
"60","Stunting","Stunting","6-9 months","18-21",2.7,2.2,3.4,10
"61","Stunting","Stunting","6-9 months","21-24",2.3,1.9,2.8,8
"62","Stunting","Stunting","6-9 months","9-12",5.8,4.6,7.2,13
"63","Stunting","Underweight","6-9 months","12-15",3,2.5,3.6,14
"64","Stunting","Underweight","6-9 months","15-18",2.9,2.5,3.2,13
"65","Stunting","Underweight","6-9 months","18-21",2.8,2.5,3.2,13
"66","Stunting","Underweight","6-9 months","21-24",2.6,2.3,2.9,11
"67","Stunting","Underweight","6-9 months","9-12",3.6,2.9,4.5,15
"68","Stunting","Wasting","6-9 months","12-15",1.8,1.4,2.3,13
"69","Stunting","Wasting","6-9 months","15-18",1.8,1.6,2,12
"70","Stunting","Wasting","6-9 months","18-21",2.2,1.8,2.6,11
"71","Stunting","Wasting","6-9 months","21-24",2.2,1.8,2.7,9
"72","Stunting","Wasting","6-9 months","9-12",1.5,1.1,1.9,13
"73","Stunting","Stunting","9-12 months","12-15",6.1,5,7.4,15
"74","Stunting","Stunting","9-12 months","15-18",3.9,3.1,4.8,15
"75","Stunting","Stunting","9-12 months","18-21",3.5,2.8,4.4,11
"76","Stunting","Stunting","9-12 months","21-24",2.9,2.4,3.6,10
"77","Stunting","Underweight","9-12 months","12-15",3.9,3,5.1,14
"78","Stunting","Underweight","9-12 months","15-18",3.6,3,4.4,14
"79","Stunting","Underweight","9-12 months","18-21",3.5,3,4.2,15
"80","Stunting","Underweight","9-12 months","21-24",3.2,2.7,3.8,14
"81","Stunting","Wasting","9-12 months","12-15",1.8,1.4,2.4,14
"82","Stunting","Wasting","9-12 months","15-18",1.9,1.6,2.2,13
"83","Stunting","Wasting","9-12 months","18-21",2,1.8,2.3,12
"84","Stunting","Wasting","9-12 months","21-24",1.9,1.6,2.2,10
"85","Stunting","Stunting","Birth","12-15",1.7,1.4,1.9,10
"86","Stunting","Stunting","Birth","0-3",3.9,2.9,5.3,13
"87","Stunting","Stunting","Birth","15-18",1.6,1.4,1.9,11
"88","Stunting","Stunting","Birth","18-21",1.6,1.4,1.9,9
"89","Stunting","Stunting","Birth","21-24",1.6,1.4,1.8,9
"90","Stunting","Stunting","Birth","3-6",2.8,2.2,3.6,10
"91","Stunting","Stunting","Birth","6-9",2.1,1.8,2.5,12
"92","Stunting","Stunting","Birth","9-12",2,1.6,2.3,11
"93","Stunting","Underweight","Birth","12-15",1.8,1.5,2.2,11
"94","Stunting","Underweight","Birth","0-3",3.8,2.6,5.5,11
"95","Stunting","Underweight","Birth","15-18",1.8,1.5,2.3,11
"96","Stunting","Underweight","Birth","18-21",1.7,1.4,2.1,11
"97","Stunting","Underweight","Birth","21-24",1.6,1.3,2,11
"98","Stunting","Underweight","Birth","3-6",2.5,1.8,3.4,12
"99","Stunting","Underweight","Birth","6-9",2,1.5,2.6,10
"100","Stunting","Underweight","Birth","9-12",1.9,1.5,2.3,11
"101","Stunting","Wasting","Birth","12-15",1.5,1.1,2,7
"102","Stunting","Wasting","Birth","0-3",0.9,0.6,1.5,5
"103","Stunting","Wasting","Birth","15-18",2,1.2,3.2,7
"104","Stunting","Wasting","Birth","18-21",1.4,1,2,6
"105","Stunting","Wasting","Birth","21-24",1.6,1,2.3,6
"106","Stunting","Wasting","Birth","3-6",1.5,1,2.3,5
"107","Stunting","Wasting","Birth","6-9",1.1,0.8,1.5,3
"108","Stunting","Wasting","Birth","9-12",1.4,1,1.8,6
"109","Underweight","Stunting","12-15 months","15-18",2.7,2.3,3.3,14
"110","Underweight","Stunting","12-15 months","18-21",2.6,2.1,3.2,12
"111","Underweight","Stunting","12-15 months","21-24",2.3,1.9,2.8,9
"112","Underweight","Underweight","12-15 months","15-18",8.3,6.6,10.6,15
"113","Underweight","Underweight","12-15 months","18-21",7.2,5.4,9.5,14
"114","Underweight","Underweight","12-15 months","21-24",5.5,4.4,6.8,12
"115","Underweight","Wasting","12-15 months","15-18",7.1,5.5,9.2,11
"116","Underweight","Wasting","12-15 months","18-21",7,5,9.7,9
"117","Underweight","Wasting","12-15 months","21-24",6,4.2,8.6,8
"118","Underweight","Stunting","0-3 months","12-15",2.1,1.8,2.3,15
"119","Underweight","Stunting","0-3 months","15-18",1.8,1.6,2.1,15
"120","Underweight","Stunting","0-3 months","18-21",1.6,1.4,1.9,14
"121","Underweight","Stunting","0-3 months","21-24",1.6,1.4,1.8,13
"122","Underweight","Stunting","0-3 months","3-6",3.4,2.9,4,16
"123","Underweight","Stunting","0-3 months","6-9",2.8,2.4,3.2,14
"124","Underweight","Stunting","0-3 months","9-12",2.4,2.1,2.8,15
"125","Underweight","Underweight","0-3 months","12-15",2.7,2.4,3.2,16
